IssuerSize,NoBonds,OAS,Warf,DWexEurope,Europe,EuropePeriphery,Automotive,BasicIndustry,CapitalGoods,ConsumerGoods,Healthcare,Leisure,Media,Retail,Services,TechnologyElectronics,Telecommunication,Transportation
1200.0,2,1048.22249988503,2220,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1275.0,4,746.745744687279,940,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1550.0,2,808.173528010535,3490,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2874.4,4,1002.11382204463,2220,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1650.0,5,1086.35525675426,1766,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1000.0,1,1200.38235118027,2220,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1100.0,3,523.122341889029,940,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1100.0,3,985.282368498125,3490,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
998.7,2,994.705914341529,3490,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
999.9,2,1162.26354460946,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800.0,2,810.514459416552,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000.0,2,1260.37711597705,2220,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
550.0,2,1268.43442194895,2220,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
675.0,2,965.669507756808,1766,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
718.0,2,1156.9928517352,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424.9,1,1251.30660676475,3490,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1573.0,3,1078.84500101762,2220,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
900.0,2,1057.21899130864,1350,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1250.0,2,935.076640988758,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2450.0,5,538.643764941312,940,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1090.0,2,1048.39406791382,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650.0,1,1175.37282783809,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600.0,2,1010.79995913468,1766,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1726.9,4,763.492298556498,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550.0,1,1222.74383130546,1766,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13650.0,9,1347.37565737128,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2350.0,3,1175.13170079498,2220,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
450.0,1,1182.15153084604,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5339.7,2,894.702650928096,940,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
945.0,1,1069.98392311214,3490,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
